Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
1. Rogue One: A Star Wars Story,2016,2h 13m,PG-13,7.8,710K,65,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",https://www.imdb.com/title/tt3748528/?ref_=sr_i_1
2. Finding Dory,2016,1h 37m,PG,7.2,318K,77,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,https://www.imdb.com/title/tt2277860/?ref_=sr_i_2
3. Captain America: Civil War,2016,2h 27m,PG-13,7.8,883K,75,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,https://www.imdb.com/title/tt3498820/?ref_=sr_i_3
4. The Secret Life of Pets,2016,1h 26m,PG,6.5,226K,61,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",https://www.imdb.com/title/tt2709768/?ref_=sr_i_4
5. The Jungle Book,2016,1h 46m,PG,7.3,298K,77,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",https://www.imdb.com/title/tt3040964/?ref_=sr_i_5
6. Deadpool,2016,1h 48m,R,8.0,1.2M,65,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",https://www.imdb.com/title/tt1431045/?ref_=sr_i_6
7. Zootopia,2016,1h 48m,PG,8.0,576K,78,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",https://www.imdb.com/title/tt2948356/?ref_=sr_i_7
8. Batman v Superman: Dawn of Justice,2016,2h 31m,R,6.5,769K,44,Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.,https://www.imdb.com/title/tt2975590/?ref_=sr_i_8
9. Suicide Squad,2016,2h 3m,PG-13,5.9,739K,40,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,https://www.imdb.com/title/tt1386697/?ref_=sr_i_9
10. Sing,2016,1h 48m,PG,7.1,202K,59,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",https://www.imdb.com/title/tt3470600/?ref_=sr_i_10
11. Moana,2016,1h 47m,PG,7.6,411K,81,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.",https://www.imdb.com/title/tt3521164/?ref_=sr_i_11
12. Fantastic Beasts and Where to Find Them,2016,2h 12m,PG-13,7.2,523K,66,"In 1926, magizoologist Newt Scamander arrives in New York during his worldwide tour to research and rescue magical creatures as something mysterious leaves trails of destruction in the city, threatening to expose the wizarding world.",https://www.imdb.com/title/tt3183660/?ref_=sr_i_12
13. Doctor Strange,2016,1h 55m,PG-13,7.5,838K,72,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",https://www.imdb.com/title/tt1211837/?ref_=sr_i_13
14. Hidden Figures,2016,2h 7m,PG,7.8,272K,74,Three female African-American mathematicians play a pivotal role in astronaut John Glenn's launch into orbit while dealing with racial and gender discrimination.,https://www.imdb.com/title/tt4846340/?ref_=sr_i_14
15. Jason Bourne,2016,2h 3m,PG-13,6.6,249K,58,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,https://www.imdb.com/title/tt4196776/?ref_=sr_i_15
16. Star Trek Beyond,2016,2h 2m,PG-13,7.0,264K,68,"The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",https://www.imdb.com/title/tt2660888/?ref_=sr_i_16
17. X-Men: Apocalypse,2016,2h 24m,PG-13,6.8,477K,52,"In the 1980s, the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive by bringing destruction to the world.",https://www.imdb.com/title/tt3385516/?ref_=sr_i_17
18. Trolls,2016,1h 32m,PG,6.4,96K,55,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",https://www.imdb.com/title/tt1679335/?ref_=sr_i_18
19. La La Land,2016,2h 8m,PG-13,8.0,714K,94,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",https://www.imdb.com/title/tt3783958/?ref_=sr_i_19
20. Kung Fu Panda 3,2016,1h 35m,PG,7.1,203K,66,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.",https://www.imdb.com/title/tt2267968/?ref_=sr_i_20
21. Split,2016,1h 57m,PG-13,7.3,587K,63,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,https://www.imdb.com/title/tt4972582/?ref_=sr_i_21
