link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0037059/?ref_=sr_i_1,"['Irving Brecher', 'Fred F. Finklehoffe', 'Sally Benson']",['Vincente Minnelli'],"['Judy Garland', ""Margaret O'Brien"", 'Mary Astor', 'Lucille Bremer', 'Leon Ames', 'Tom Drake', 'Marjorie Main', 'Harry Davenport', 'June Lockhart', 'Henry H. Daniels Jr.']","$1,700,000 (estimated)","$225,684","$502,778","$415,008",January 1945,['United States'],"['La Grande Station, Downtown, Los Angeles, California, USA']",['Metro-Goldwyn-Mayer (MGM)'],"Nominated for 4 Oscars, 9 wins & 8 nominations total","['Classic Musical', 'Holiday Family', 'Comedy', 'Drama', 'Family', 'Holiday', 'Musical', 'Romance']",['English']
https://www.imdb.com/title/tt0036775/?ref_=sr_i_2,"['Billy Wilder', 'Raymond Chandler', 'James M. Cain']",['Billy Wilder'],"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr', 'Porter Hall', 'Jean Heather', 'Tom Powers', 'Richard Gaines', 'Fortunio Bonanova', 'John Philliber']","$927,262 (estimated)",,"$21,026",,"July 6, 1944",['United States'],"['6301 Quebec Drive, Hollywood Hills, Los Angeles, California, USA (Dietrichson house)']",['Paramount Pictures'],"Nominated for 7 Oscars, 5 wins & 9 nominations total","['Film Noir', 'Hard-boiled Detective', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English']
https://www.imdb.com/title/tt0036855/?ref_=sr_i_3,"['John Van Druten', 'Walter Reisch', 'John L. Balderston']",['George Cukor'],"['Charles Boyer', 'Ingrid Bergman', 'Joseph Cotten', 'May Whitty', 'Angela Lansbury', 'Barbara Everest', 'Emil Rameau', 'Edmund Breon', 'Halliwell Hobbes', 'Tom Stevenson']",,,"$2,391",,"June 16, 1944",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA']","[""Loew's""]","Won 2 Oscars, 10 wins & 7 nominations total","['Dark Romance', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']","['English', 'Italian']"
https://www.imdb.com/title/tt0037008/?ref_=sr_i_4,"['Vera Caspary', 'Jay Dratler', 'Samuel Hoffenstein']","['Otto Preminger', 'Rouben Mamoulian']","['Gene Tierney', 'Dana Andrews', 'Clifton Webb', 'Vincent Price', 'Judith Anderson', 'Grant Mitchell', 'Dorothy Adams', 'Terry Adams', 'John Alban', 'Wally Albright']","$1,020,000 (estimated)",,$151,,November 1944,['United States'],"['Stage 9, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA (Studio)']",['Twentieth Century Fox'],"Won 1 Oscar, 7 wins & 5 nominations total","['Film Noir', 'Drama', 'Mystery']",['English']
https://www.imdb.com/title/tt0037343/?ref_=sr_i_5,"['Michael Hogan', 'Paul Fix', 'Gordon Ray Young']",['Edwin L. Marin'],"['John Wayne', 'Ella Raines', 'Ward Bond', ""George 'Gabby' Hayes"", 'Audrey Long', 'Elisabeth Risdon', 'Donald Douglas', 'Paul Fix', 'Russell Wade', 'Emory Parnell']","$565,754 (estimated)",,,,"September 29, 1944",['United States'],"['Sedona, Arizona, USA']",['RKO Radio Pictures'],,['Western'],"['English', 'Spanish']"
https://www.imdb.com/title/tt0036613/?ref_=sr_i_6,"['Julius J. Epstein', 'Joseph Kesselring', 'Charles Dorat']",['Frank Capra'],"['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson', 'Edward Everett Horton', 'Peter Lorre', 'James Gleason', 'Josephine Hull', 'Jean Adair', 'John Alexander']","$1,164,000 (estimated)",,,,"September 21, 1944",['United States'],"['Stage 19, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA']",['Warner Bros.'],"Awards, 4 wins & 1 nomination total","['Farce', 'Screwball Comedy', 'Comedy', 'Crime', 'Thriller']","['English', 'German']"
https://www.imdb.com/title/tt0037382/?ref_=sr_i_7,"['Ernest Hemingway', 'Jules Furthman', 'William Faulkner']",['Howard Hawks'],"['Humphrey Bogart', 'Lauren Bacall', 'Walter Brennan', 'Dolores Moran', 'Hoagy Carmichael', 'Sheldon Leonard', 'Walter Szurovy', 'Marcel Dalio', 'Walter Sande', 'Dan Seymour']",,,"$12,459",,"January 20, 1945",['United States'],"['Stage 28, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA']",['Warner Bros.'],"Awards, 4 wins & 1 nomination total","['Dark Comedy', 'Film Noir', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Thriller', 'War']","['English', 'French']"
https://www.imdb.com/title/tt0037017/?ref_=sr_i_8,"['John Steinbeck', 'Jo Swerling', 'Alfred Hitchcock']",['Alfred Hitchcock'],"['Tallulah Bankhead', 'John Hodiak', 'Walter Slezak', 'William Bendix', 'Mary Anderson', 'Henry Hull', 'Heather Angel', 'Hume Cronyn', 'Canada Lee', 'William Yetter Jr.']","$1,590,000 (estimated)",,$99,,"January 28, 1944",['United States'],"['Florida Keys, Florida, USA']",['Twentieth Century Fox'],"Nominated for 3 Oscars, 5 wins & 3 nominations total","['Survival', 'Drama', 'War']","['English', 'German', 'French']"
https://www.imdb.com/title/tt0038166/?ref_=sr_i_9,"['Homer Brightman', 'Ernest Terrazas', 'Ted Sears']","['Norman Ferguson', 'Clyde Geronimi', 'Jack Kinney']","['Aurora Miranda', 'Carmen Molina', 'Dora Luz', 'Sterling Holloway', 'Clarence Nash', 'Joaquin Garay', 'José Oliveira', 'Frank Graham', 'Fred Shields', 'Nestor Amaral']",,,,,"February 22, 1945",['United States'],"['Acapulco, Guerrero, Mexico (aerial shots)']","['Walt Disney Animation Studios', 'Walt Disney Productions']","Nominated for 2 Oscars, 3 nominations total","['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","['English', 'Spanish', 'Portuguese']"
https://www.imdb.com/title/tt0036872/?ref_=sr_i_10,"['Frank Butler', 'Frank Cavett', 'Leo McCarey']",['Leo McCarey'],"['Bing Crosby', 'Barry Fitzgerald', 'Frank McHugh', 'James Brown', 'Gene Lockhart', 'Jean Heather', 'Porter Hall', 'Fortunio Bonanova', 'Eily Malyon', 'The Robert Mitchell Boy Choir']",,,"$2,221",,"October 2, 1944",['United States'],"[""Saint Monica's Catholic Church - 715 California Avenue, Santa Monica, California, USA (St. Dominic's)""]",['Paramount Pictures'],"Won 7 Oscars, 22 wins & 5 nominations total","['Comedy', 'Drama', 'Music']",['English']
https://www.imdb.com/title/tt0037120/?ref_=sr_i_11,"['Enid Bagnold', 'Theodore Reeves', 'Helen Deutsch']",['Clarence Brown'],"['Mickey Rooney', 'Elizabeth Taylor', 'Donald Crisp', 'Anne Revere', 'Angela Lansbury', ""Jackie 'Butch' Jenkins"", 'Juanita Quigley', 'Arthur Treacher', 'Reginald Owen', 'Norma Varden']",,,,,"January 26, 1945",['United States'],"['Pebble Beach, California, USA']","[""Loew's""]","Won 2 Oscars, 6 wins & 5 nominations total","['Drama', 'Family', 'Sport']",['English']
