link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0031381/?ref_=sr_i_1,"['Margaret Mitchell', 'Sidney Howard', 'Oliver H.P. Garrett']",['Victor Fleming'],"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil"", 'Evelyn Keyes', 'Ann Rutherford', 'George Reeves', 'Fred Crane', 'Hattie McDaniel', 'Oscar Polk']","$3,977,000 (estimated)","$1,192,593","$402,382,193","$200,882,193","January 17, 1940",['United States'],"['Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA (shantytown attack)']","['Selznick International Pictures', 'Metro-Goldwyn-Mayer (MGM)']","Won 8 Oscars, 25 wins & 9 nominations total","['Costume Drama', 'Epic', 'Period Drama', 'Romantic Epic', 'Tragic Romance', 'War Epic', 'Drama', 'Romance', 'War']",['English']
https://www.imdb.com/title/tt0032138/?ref_=sr_i_2,"['Noel Langley', 'Florence Ryerson', 'Edgar Allan Woolf']","['Victor Fleming', 'King Vidor']","['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr', 'Jack Haley', 'Billie Burke', 'Margaret Hamilton', 'Charley Grapewin', 'Pat Walshe', 'Clara Blandick']","$2,777,000 (estimated)","$5,354,311","$25,637,669","$24,668,669","August 25, 1939",['United States'],"[""Stage 28, Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA (Witch's castle drawbridge; Wash and Brush Up Company; Witch's entrance hall; Witch's tower room; Yellow Brick Road montage song)""]",['Metro-Goldwyn-Mayer (MGM)'],"Won 2 Oscars, 15 wins & 15 nominations total","['Adventure Epic', 'Classic Musical', 'Fairy Tale', 'Fantasy Epic', 'Quest', 'Adventure', 'Family', 'Fantasy', 'Musical']",['English']
https://www.imdb.com/title/tt0032145/?ref_=sr_i_3,"['Charles MacArthur', 'Ben Hecht', 'Emily Brontë']",['William Wyler'],"['Merle Oberon', 'Laurence Olivier', 'David Niven', 'Flora Robson', 'Donald Crisp', 'Geraldine Fitzgerald', 'Hugh Williams', 'Leo G. Carroll', 'Miles Mander', 'Cecil Kellaway']",,"$15,493","$624,643","$624,643","April 7, 1939",['United States'],"['Janss Conejo Ranch, Thousand Oaks, California, USA']",['The Samuel Goldwyn Company'],"Won 1 Oscar, 9 wins & 7 nominations total","['Drama', 'Romance']",['English']
https://www.imdb.com/title/tt0031885/?ref_=sr_i_4,"['Jean Renoir', 'Carl Koch', 'Beaumarchais']",['Jean Renoir'],"['Marcel Dalio', 'Nora Gregor', 'Paulette Dubost', 'Mila Parély', 'Odette Talazac', 'Claire Gérard', 'Anne Mayen', 'Lise Elina', 'Julien Carette', 'Roland Toutain']","FRF5,500,500 (estimated)",,"$273,641","$273,641","April 8, 1950",['France'],"['Studios Pathé-Cinema, Joinville-le-pont, Val-de-Marne, France (Studio)']",['Nouvelles Éditions de Films (NEF)'],"Awards, 2 wins & 1 nomination total","['Satire', 'Comedy', 'Drama']","['French', 'German', 'English']"
https://www.imdb.com/title/tt0031679/?ref_=sr_i_5,"['Sidney Buchman', 'Lewis R. Foster', 'Myles Connolly']",['Frank Capra'],"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold', 'Guy Kibbee', 'Thomas Mitchell', 'Eugene Pallette', 'Beulah Bondi', 'H.B. Warner', 'Harry Carey']","$1,900,000 (estimated)","$83,205","$146,123","$144,738","October 19, 1939",['United States'],"['Lincoln Memorial, National Mall, Washington, District of Columbia, USA']",['Columbia Pictures'],"Won 1 Oscar, 8 wins & 12 nominations total","['Political Drama', 'Comedy', 'Drama']",['English']
https://www.imdb.com/title/tt0031514/?ref_=sr_i_6,"['Jacques Viot', 'Jacques Prévert']",['Marcel Carné'],"['Jean Gabin', 'Jacqueline Laurent', 'Arletty', 'Jules Berry', 'Mady Berry', 'René Génin', 'Arthur Devère', 'René Bergeron', 'Bernard Blier', 'Marcel Pérès']",,"$11,864","$35,321","$35,321","July 29, 1940",['France'],"['Paris Studios Cinéma, Billancourt, Hauts-de-Seine, France (Studio)']",['Productions Sigma'],"Awards, 1 nomination total","['Crime', 'Drama', 'Romance', 'Thriller']",['French']
https://www.imdb.com/title/tt0031210/?ref_=sr_i_7,"['Casey Robinson', 'George Emerson Brewer Jr.', 'Bertram Bloch']",['Edmund Goulding'],"['Bette Davis', 'George Brent', 'Humphrey Bogart', 'Geraldine Fitzgerald', 'Ronald Reagan', 'Henry Travers', 'Cora Witherspoon', 'Dorothy Peterson', 'Virginia Brissac', 'Charles Richman']",,,$345,,"April 22, 1939",['United States'],"['Warner Ranch, Calabasas, California, USA']",['Warner Bros.'],"Nominated for 3 Oscars, 5 wins & 4 nominations total","['Drama', 'Romance']",['English']
https://www.imdb.com/title/tt0031971/?ref_=sr_i_8,"['Ernest Haycox', 'Dudley Nichols', 'Ben Hecht']",['John Ford'],"['John Wayne', 'Claire Trevor', 'Andy Devine', 'John Carradine', 'Thomas Mitchell', 'Louise Platt', 'George Bancroft', 'Donald Meek', 'Berton Churchill', 'Tim Holt']","$392,000 (estimated)",,,,"March 3, 1939",['United States'],"['Agathla Peak, Arizona, USA (Peak in background at start of stagecoach trip)']",['Walter Wanger Productions'],"Won 2 Oscars, 10 wins & 5 nominations total","['Classical Western', 'Adventure', 'Drama', 'Western']","['English', 'Spanish', 'French']"
https://www.imdb.com/title/tt0031385/?ref_=sr_i_9,"['R.C. Sherriff', 'Claudine West', 'Eric Maschwitz']","['Sam Wood', 'Sidney Franklin']","['Robert Donat', 'Greer Garson', 'Terry Kilburn', 'John Mills', 'Paul Henreid', 'Judith Furse', 'Lyn Harding', 'Milton Rosmer', 'Frederick Leister', 'Louise Hampton']",,,,,"July 28, 1939","['United Kingdom', 'United States']","['Repton School, Repton, Derbyshire, England, UK (Brookfield School)']","['Metro-Goldwyn-Mayer British Studios', ""Loew's""]","Won 1 Oscar, 6 wins & 8 nominations total","['Drama', 'Romance']","['English', 'Latin', 'German']"
https://www.imdb.com/title/tt0032143/?ref_=sr_i_10,"['Clare Boothe Luce', 'Anita Loos', 'Jane Murfin']",['George Cukor'],"['Norma Shearer', 'Joan Crawford', 'Rosalind Russell', 'Mary Boland', 'Paulette Goddard', 'Joan Fontaine', 'Lucile Watson', 'Phyllis Povah', 'Virginia Weidler', 'Marjorie Main']","$1,688,000 (estimated)",,"$16,161",,"September 1, 1939",['United States'],"['Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue, Arcadia, California, USA']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 6 wins total","['Comedy', 'Drama']","['English', 'French']"
