link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0413300/?ref_=sr_i_1,"['Sam Raimi', 'Ivan Raimi', 'Alvin Sargent']",['Sam Raimi'],"['Tobey Maguire', 'Kirsten Dunst', 'Topher Grace', 'Thomas Haden Church', 'James Franco', 'Bryce Dallas Howard', 'Rosemary Harris', 'J.K. Simmons', 'James Cromwell', 'Theresa Russell']","$258,000,000 (estimated)","$151,116,516","$891,679,447","$337,281,992","May 4, 2007",['United States'],"['Chicago, Illinois, USA']","['Columbia Pictures', 'Marvel Entertainment', 'Laura Ziskin Productions']","Nominated for 1 BAFTA Award, 4 wins & 44 nominations total","['Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']","['English', 'French']"
https://www.imdb.com/title/tt0413267/?ref_=sr_i_2,"['William Steig', 'Andrew Adamson', 'Jeffrey Price']","['Chris Miller', 'Raman Hui']","['Mike Myers', 'Cameron Diaz', 'Eddie Murphy', 'Antonio Banderas', 'Julie Andrews', 'John Cleese', 'Rupert Everett', 'Eric Idle', 'Justin Timberlake', 'Susanne Blakeslee']","$160,000,000 (estimated)","$121,629,270","$808,308,862","$322,719,944","May 18, 2007",['United States'],,"['DreamWorks Animation', 'Pacific Data Images (PDI)']","Nominated for 1 BAFTA Award, 5 wins & 17 nominations total","['Computer Animation', 'Fairy Tale', 'Parody', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",['English']
https://www.imdb.com/title/tt0418279/?ref_=sr_i_3,"['Roberto Orci', 'Alex Kurtzman', 'John Rogers']",['Michael Bay'],"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'Rachael Taylor', 'Anthony Anderson', 'Jon Voight', 'John Turturro', ""Michael O'Neill"", 'Kevin Dunn']","$150,000,000 (estimated)","$70,502,384","$709,709,780","$319,246,193","July 3, 2007",['United States'],"['Michigan Central Depot - W. Vernor and W. Michigan Avenues, Detroit, Michigan, USA']","['Paramount Pictures', 'Dreamworks Pictures', 'Hasbro']","Nominated for 3 Oscars, 25 wins & 50 nominations total","['Action Epic', 'Alien Invasion', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi']","['English', 'Spanish']"
https://www.imdb.com/title/tt0449088/?ref_=sr_i_4,"['Ted Elliott', 'Terry Rossio', 'Stuart Beattie']",['Gore Verbinski'],"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Geoffrey Rush', 'Jack Davenport', 'Bill Nighy', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', 'Kevin McNally']","$300,000,000 (estimated)","$114,732,820","$961,691,209","$309,420,425","May 25, 2007",['United States'],"[""Bonneville Salt Flats, Utah, USA (Davy Jones' Locker)""]","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","Nominated for 2 Oscars, 23 wins & 51 nominations total","['Adventure Epic', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'Fantasy']",['English']
https://www.imdb.com/title/tt0373889/?ref_=sr_i_5,"['Michael Goldenberg', 'J.K. Rowling']",['David Yates'],"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Brendan Gleeson', 'Harry Melling', 'Jason Boyd', 'Richard Macklin', 'Kathryn Hunter', 'Miles Jupp', 'Fiona Shaw']","$150,000,000 (estimated)","$77,108,414","$942,867,374","$292,382,727","July 11, 2007","['United Kingdom', 'United States']","['Blenheim Palace, Woodstock, Oxfordshire, England, UK']","['Warner Bros.', 'Heyday Films']","Nominated for 2 BAFTA Awards, 17 wins & 50 nominations total","['Teen Adventure', 'Teen Fantasy', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['English', 'Latin']"
https://www.imdb.com/title/tt0480249/?ref_=sr_i_6,"['Mark Protosevich', 'Akiva Goldsman', 'Richard Matheson']",['Francis Lawrence'],"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Salli Richardson-Whitfield', 'Willow Smith', 'Darrell Foster', 'April Grace', 'Dash Mihok', 'Joanna Numata', 'Abbey']","$150,000,000 (estimated)","$77,211,321","$585,410,052","$256,393,010","December 14, 2007","['United States', 'United Kingdom']","['USS Intrepid, New York City, New York, USA (golf practice)']","['Warner Bros.', 'Village Roadshow Pictures', 'Weed Road Pictures']","Awards, 9 wins & 23 nominations total","['Action Epic', 'Dystopian Sci-Fi', 'Survival', 'Zombie Horror', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']",['English']
https://www.imdb.com/title/tt0440963/?ref_=sr_i_7,"['Tony Gilroy', 'Scott Z. Burns', 'George Nolfi']",['Paul Greengrass'],"['Matt Damon', 'Edgar Ramírez', 'Joan Allen', 'Julia Stiles', 'David Strathairn', 'Scott Glenn', 'Paddy Considine', 'Albert Finney', 'Tom Gallop', 'Corey Johnson']","$110,000,000 (estimated)","$69,283,690","$442,824,138","$227,471,070","August 3, 2007","['United States', 'Germany', 'France', 'Spain']","['Madrid, Spain']","['Universal Pictures', 'Motion Picture BETA Produktionsgesellschaft', 'The Kennedy/Marshall Company']","Won 3 Oscars, 29 wins & 42 nominations total","['Spy', 'Action', 'Mystery', 'Thriller']","['English', 'Russian', 'French', 'Spanish', 'Arabic', 'Italian']"
https://www.imdb.com/title/tt0465234/?ref_=sr_i_8,"['Marianne Wibberley', 'Cormac Wibberley', 'Gregory Poirier']",['Jon Turteltaub'],"['Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Jon Voight', 'Helen Mirren', 'Ed Harris', 'Harvey Keitel', 'Bruce Greenwood', 'Ty Burrell', 'Michael Maize']","$130,000,000 (estimated)","$44,783,772","$459,242,249","$219,964,115","December 21, 2007",['United States'],"[""Buckingham Palace, Pall Mall, St James's, Westminster, Greater London, England, UK (Exterior)""]","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment']","Awards, 1 win & 5 nominations total","['Globetrotting Adventure', 'Action', 'Adventure', 'Mystery', 'Thriller']","['English', 'French']"
https://www.imdb.com/title/tt0952640/?ref_=sr_i_9,"['Jon Vitti', 'Will McRobb', 'Chris Viscardi']",['Tim Hill'],"['Jason Lee', 'Ross Bagdasarian Jr.', 'Janice Karman', 'David Cross', 'Cameron Richardson', 'Jane Lynch', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Allison Karman']","$60,000,000 (estimated)","$44,307,417","$365,352,546","$217,326,974","December 14, 2007",['United States'],"[""St. Andrews Bungalow Court, Hollywood, Los Angeles, California, USA (Dave Seville's house)""]","['Fox 2000 Pictures', 'Regency Enterprises', 'Bagdasarian Productions']","Awards, 4 wins & 2 nominations total","['Animal Adventure', 'Jukebox Musical', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']","['English', 'French', 'Spanish', 'Japanese']"
https://www.imdb.com/title/tt0382932/?ref_=sr_i_10,"['Brad Bird', 'Jan Pinkava', 'Jim Capobianco']","['Brad Bird', 'Jan Pinkava']","['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm', 'Brian Dennehy', 'Peter Sohn', ""Peter O'Toole"", 'Janeane Garofalo', 'Will Arnett', 'Julius Callahan']","$150,000,000 (estimated)","$47,027,395","$623,729,380","$206,445,654","June 27, 2007",['United States'],,"['Walt Disney Pictures', 'Pixar Animation Studios']","Won 1 Oscar, 68 wins & 42 nominations total","['Animal Adventure', 'Computer Animation', 'Satire', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['English', 'French']"
