link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0116629/?ref_=sr_i_1,"['Dean Devlin', 'Roland Emmerich']",['Roland Emmerich'],"['Will Smith', 'Bill Pullman', 'Jeff Goldblum', 'Mary McDonnell', 'Judd Hirsch', 'Robert Loggia', 'Randy Quaid', 'Margaret Colin', 'James Rebhorn', 'Harvey Fierstein']","$75,000,000 (estimated)","$50,228,264","$817,400,891","$306,169,268","July 3, 1996",['United States'],"['Bonneville Salt Flats, Utah, USA (Alien Crash, RV Caravan)']","['Twentieth Century Fox', 'Centropolis Entertainment']","Won 1 Oscar, 35 wins & 35 nominations total","['Action Epic', 'Alien Invasion', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']",['English']
https://www.imdb.com/title/tt0117998/?ref_=sr_i_2,"['Michael Crichton', 'Anne-Marie Martin']",['Jan de Bont'],"['Helen Hunt', 'Bill Paxton', 'Jami Gertz', 'Cary Elwes', 'Lois Smith', 'Philip Seymour Hoffman', 'Alan Ruck', 'Sean Whalen', 'Scott Thomson', 'Todd Field']","$92,000,000 (estimated)","$41,059,405","$494,580,615","$241,830,615","May 10, 1996",['United States'],"['Ames, Iowa, USA (Final scene with F5)']","['Warner Bros.', 'Universal Pictures', 'Amblin Entertainment']","Nominated for 2 Oscars, 11 wins & 17 nominations total","['Disaster', 'Survival', 'Action', 'Adventure', 'Thriller']",['English']
https://www.imdb.com/title/tt0117060/?ref_=sr_i_3,"['Bruce Geller', 'David Koepp', 'Steven Zaillian']",['Brian De Palma'],"['Tom Cruise', 'Jon Voight', 'Emmanuelle Béart', 'Henry Czerny', 'Jean Reno', 'Ving Rhames', 'Kristin Scott Thomas', 'Vanessa Redgrave', 'Ingeborga Dapkunaite', 'Valentina Yakunina']","$80,000,000 (estimated)","$45,436,830","$457,696,391","$180,981,856","May 22, 1996",['United States'],"[""Charles Bridge, Old Town, Prague, Czech Republic (Jim's fall into the Vltava)""]","['Paramount Pictures', 'Cruise/Wagner Productions']","Awards, 3 wins & 17 nominations total","['Spy', 'Urban Adventure', 'Action', 'Adventure', 'Thriller']","['English', 'French', 'Czech']"
https://www.imdb.com/title/tt0116695/?ref_=sr_i_4,['Cameron Crowe'],['Cameron Crowe'],"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger', 'Kelly Preston', ""Jerry O'Connell"", 'Jay Mohr', 'Bonnie Hunt', 'Regina King', 'Jonathan Lipnicki', 'Todd Louiso']","$50,000,000 (estimated)","$17,084,296","$273,552,592","$153,952,592","December 13, 1996",['United States'],"[""Paco's Tacos - 4141 S. Centinela Avenue, Culver City, California, USA""]","['TriStar Pictures', 'Gracie Films']","Won 1 Oscar, 26 wins & 41 nominations total","['Feel-Good Romance', 'Football', 'Romantic Comedy', 'Workplace Drama', 'Comedy', 'Drama', 'Romance', 'Sport']","['English', 'American Sign Language']"
https://www.imdb.com/title/tt0117438/?ref_=sr_i_5,"['Cyril Hume', 'Richard Maibaum', 'Richard Price']",['Ron Howard'],"['Mel Gibson', 'Gary Sinise', 'Rene Russo', 'Brawley Nolte', 'Delroy Lindo', 'Lili Taylor', 'Liev Schreiber', 'Donnie Wahlberg', 'Evan Handler', 'Nancy Ticotin']","$80,000,000 (estimated)","$34,216,088","$309,492,681","$136,492,681","November 8, 1996",['United States'],"['Fair Lawn, New Jersey, USA']","['Touchstone Pictures', 'Imagine Entertainment', 'Ransom Productions']","Awards, 3 wins & 5 nominations total","['Action', 'Crime', 'Drama', 'Thriller']",['English']
https://www.imdb.com/title/tt0115433/?ref_=sr_i_6,"['Dodie Smith', 'John Hughes']",['Stephen Herek'],"['Glenn Close', 'Jeff Daniels', 'Joely Richardson', 'Joan Plowright', 'Hugh Laurie', 'Mark Williams', 'John Shrapnel', 'Tim McInnerny', 'Hugh Fraser', 'Zohren Weiss']","$75,000,000 (estimated)","$33,504,025","$320,689,294","$136,189,294","November 27, 1996","['United States', 'United Kingdom']","['Minster Court, Mincing Lane, City of London, England, UK (exterior: House Of DeVil)']","['Walt Disney Pictures', 'Great Oaks Entertainment', 'Wizzer Productions']","Nominated for 1 BAFTA Award, 3 wins & 10 nominations total","['Animal Adventure', 'Urban Adventure', 'Adventure', 'Comedy', 'Crime', 'Family']","['English', 'Spanish']"
https://www.imdb.com/title/tt0117500/?ref_=sr_i_7,"['David Weisberg', 'Douglas Cook', 'Mark Rosner']",['Michael Bay'],"['Sean Connery', 'Nicolas Cage', 'Ed Harris', 'John Spencer', 'David Morse', 'William Forsythe', 'Michael Biehn', 'Vanessa Marcil', 'John C. McGinley', 'Gregory Sporleder']","$75,000,000 (estimated)","$25,069,525","$335,062,621","$134,069,511","June 7, 1996",['United States'],"['Alcatraz Island, San Francisco Bay, California, USA']","['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']","Nominated for 1 Oscar, 9 wins & 10 nominations total","['Action', 'Adventure', 'Thriller']",['English']
https://www.imdb.com/title/tt0117218/?ref_=sr_i_8,"['Jerry Lewis', 'Bill Richmond', 'David Sheffield']",['Tom Shadyac'],"['Eddie Murphy', 'Jada Pinkett Smith', 'James Coburn', 'Larry Miller', 'Dave Chappelle', 'John Ales', 'Patricia Wilson', 'Jamal Mixon', 'Nichole McAuley', 'Hamilton von Watts']","$54,000,000 (estimated)","$25,411,725","$273,961,019","$128,814,019","June 28, 1996",['United States'],"['Biltmore Hotel - 506 S. Grand Avenue, Downtown, Los Angeles, California, USA']",['Imagine Entertainment'],"Won 1 Oscar, 10 wins & 12 nominations total","['Slapstick', 'Comedy', 'Romance', 'Sci-Fi']",['English']
https://www.imdb.com/title/tt0115685/?ref_=sr_i_9,"['Jean Poiret', 'Francis Veber', 'Édouard Molinaro']",['Mike Nichols'],"['Robin Williams', 'Nathan Lane', 'Gene Hackman', 'Dianne Wiest', 'Dan Futterman', 'Calista Flockhart', 'Hank Azaria', 'Christine Baranski', 'Tom McGowan', 'Grant Heslov']","$31,000,000 (estimated)","$18,275,828","$185,260,553","$124,060,553","March 8, 1996",['United States'],"['Carlyle Hotel - 1250 Ocean Drive, Miami Beach, Florida, USA (The Birdcage Club- Exteriors)']",['United Artists'],"Nominated for 1 Oscar, 7 wins & 25 nominations total","['Farce', 'Comedy']",['English']
https://www.imdb.com/title/tt0117913/?ref_=sr_i_10,"['John Grisham', 'Akiva Goldsman']",['Joel Schumacher'],"['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson', 'Kevin Spacey', 'Oliver Platt', 'Charles S. Dutton', 'Brenda Fricker', 'Donald Sutherland', 'Kiefer Sutherland', 'Patrick McGoohan']","$40,000,000 (estimated)","$14,823,159","$152,266,007","$108,766,007","July 24, 1996",['United States'],"['London, Ontario, Canada']","['New Regency Productions', 'Warner Bros.']","Awards, 7 wins & 12 nominations total","['Legal Thriller', 'Crime', 'Drama', 'Thriller']",['English']
