link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
https://www.imdb.com/title/tt0023293/?ref_=sr_i_1,"['J.B. Priestley', 'Benn W. Levy', 'R.C. Sherriff']",['James Whale'],"['Boris Karloff', 'Melvyn Douglas', 'Charles Laughton', 'Gloria Stuart', 'Lilian Bond', 'Ernest Thesiger', 'Eva Moore', 'Raymond Massey', 'Elspeth Dudgeon', 'Brember Wills']",,,"$34,649","$25,678","October 20, 1932",['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA']",['Universal Pictures'],"Awards, 1 nomination total","['Adventure', 'Comedy', 'Drama', 'Horror', 'Thriller']",['English']
https://www.imdb.com/title/tt0022877/?ref_=sr_i_2,['Marcel Pagnol'],['Marc Allégret'],"['Raimu', 'Pierre Fresnay', 'Fernand Charpin', 'Orane Demazis', 'Auguste Mouriès', 'Robert Vattier', 'Marcel Maupi', 'Alida Rouffe', 'Milly Mathis', 'Odette Roger']",,"$7,720","$8,262","$8,262","February 12, 1948",['France'],"['Hôtel de ville de Marseille, Marseille, Bouches-du-Rhône, France']","['Les Films Marcel Pagnol', 'Les Établissements Braunberger-Richebé']",,"['Comedy', 'Drama']",['French']
https://www.imdb.com/title/tt0023407/?ref_=sr_i_3,"['Howard Estabrook', 'George Kibbe Turner', 'Merian C. Cooper']",['Wesley Ruggles'],"['Richard Dix', 'Gwili Andre', 'Edward Everett Horton', 'Arline Judge', 'Zasu Pitts', 'Dudley Digges', 'C. Henry Gordon', 'William Orlamond', 'Arthur Stone', 'Toshia Mori']",,,,,"July 8, 1932",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],,"['Adventure', 'Romance']","['English', 'Chinese']"
https://www.imdb.com/title/tt0022913/?ref_=sr_i_4,"[""Clarence Aaron 'Tod' Robbins"", 'Willis Goldbeck', 'Leon Gordon']",['Tod Browning'],"['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates', 'Henry Victor', 'Harry Earles', 'Daisy Earles', 'Rose Dione', 'Daisy Hilton', 'Violet Hilton']","$310,607 (estimated)",,"$4,072",,"February 20, 1932",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 2 wins & 1 nomination total","['Body Horror', 'Showbiz Drama', 'Drama', 'Horror']","['English', 'German', 'French']"
https://www.imdb.com/title/tt0023241/?ref_=sr_i_5,"['Vincent Lawrence', 'Agnes Christine Johnston', 'John Grey']","['Clyde Bruckman', 'Harold Lloyd']","['Harold Lloyd', 'Constance Cummings', 'Kenneth Thomson', 'Louise Closser Hale', 'Spencer Charters', 'Robert McWade', 'Eddie Fetherston', 'Sydney Jarvis', 'Harold Goodwin', 'Mary Doran']","$675,000 (estimated)",,,,"September 23, 1932",['United States'],"['Santa Fe La Grande Railroad Station Los Angeles, California, USA (photographs)']",['The Harold Lloyd Corporation (II)'],"Awards, 1 win & 1 nomination total","['Comedy', 'Family', 'Romance']",['English']
https://www.imdb.com/title/tt0023686/?ref_=sr_i_6,"['Gene Fowler', 'Rowland Brown', 'Adela Rogers St. Johns']",['George Cukor'],"['Constance Bennett', 'Lowell Sherman', 'Neil Hamilton', 'Gregory Ratoff', 'Brooks Benedict', 'Louise Beavers', 'George Reed', 'Alice Adair', ""Eddie 'Rochester' Anderson"", 'Sam Armstrong']","$411,676 (estimated)",,,,"June 24, 1932",['United States'],"['Santa Barbara Polo Club, 3300 Via Real, Carpinteria, CA, USA (Polo match)']",['RKO Pathé Pictures'],"Nominated for 1 Oscar, 3 wins & 1 nomination total","['Showbiz Drama', 'Drama', 'Romance']","['English', 'French']"
https://www.imdb.com/title/tt0023427/?ref_=sr_i_7,"['Armitage Trail', 'Ben Hecht', 'Seton I. Miller']","['Howard Hawks', 'Richard Rosson']","['Paul Muni', 'Ann Dvorak', 'Karen Morley', 'Osgood Perkins', 'C. Henry Gordon', 'George Raft', 'Vince Barnett', 'Boris Karloff', 'Purnell Pratt', 'Tully Marshall']","$800,000 (estimated)",,,,"April 9, 1932",['United States'],"['Metropolitan Studios - 1040 N. Las Palmas Avenue, Hollywood, Los Angeles, California, USA (Studio)']",['The Caddo Company'],"Awards, 5 wins total","['Film Noir', 'Gangster', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']",['English']
https://www.imdb.com/title/tt0022731/?ref_=sr_i_8,['Ivor Novello'],['Jack Conway'],"['Robert Montgomery', 'Nora Gregor', 'Heather Thatcher', 'Edward Everett Horton', 'C. Aubrey Smith', 'Nils Asther', 'Frederick Kerr', 'Eva Moore', 'Forrester Harvey', 'Desmond Roberts']",,,,,"April 9, 1932",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA (Studio)']",['Metro-Goldwyn-Mayer (MGM)'],"Awards, 2 wins total",['Comedy'],['English']
https://www.imdb.com/title/tt0023622/?ref_=sr_i_9,"['Samson Raphaelson', 'Grover Jones', 'Aladár László']",['Ernst Lubitsch'],"['Miriam Hopkins', 'Kay Francis', 'Herbert Marshall', 'Charles Ruggles', 'Edward Everett Horton', 'C. Aubrey Smith', 'Robert Greig', 'Luis Alberni', 'Hooper Atchley', 'Tyler Brooke']","$519,706 (estimated)",,$928,,"October 30, 1932",['United States'],"['Los Angeles, California, USA']",['Paramount Pictures'],"Awards, 6 wins total","['Screwball Comedy', 'Comedy', 'Crime', 'Romance']","['English', 'Italian', 'French', 'Russian', 'Spanish', 'German']"
https://www.imdb.com/title/tt0023245/?ref_=sr_i_10,"['Nina Wilcox Putnam', 'Richard Schayer', 'John L. Balderston']",['Karl Freund'],"['Boris Karloff', 'Zita Johann', 'David Manners', 'Arthur Byron', 'Edward Van Sloan', 'Bramwell Fletcher', 'Noble Johnson', 'Kathryn Byron', 'Leonard Mudie', 'James Crane']","$196,000 (estimated)",,$58,,"December 22, 1932",['United States'],"['Mojave Desert, California, USA']",['Universal Pictures'],"Awards, 1 win & 4 nominations total","['Dark Fantasy', 'Supernatural Horror', 'Fantasy', 'Horror']","['English', 'Arabic', 'French', 'Egyptian (Ancient)']"
